,norte,este,Recvd Wt.,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Ni,P,S,Sc,Sr,V,Zn,Centroide
71,4626750.0,549063.0,4.66,1.45,0.02,7.0,3.0,112.0,4.23,0.18,0.95,356.0,1.0,400.0,1.31,7.0,6.0,76.0,35.0,2
72,4626751.0,549094.0,4.46,1.78,0.1,7.0,2.0,49.0,3.8,0.12,1.08,1005.0,2.0,590.0,0.42,6.0,6.0,39.0,88.0,2
73,4626758.0,549165.0,3.82,0.43,0.04,1.0,1.0,35.0,2.28,0.24,0.03,52.0,1.0,560.0,0.19,3.0,6.0,4.0,42.0,2
74,4626765.0,548957.0,3.92,6.26,1.7,39.0,66.0,12.0,11.4,0.04,5.43,3950.0,20.0,210.0,0.02,36.0,17.0,254.0,357.0,1
75,4626800.0,548852.0,3.62,0.38,0.04,1.0,4.0,5240.0,2.92,0.18,0.02,55.0,1.0,560.0,0.04,1.0,8.0,9.0,27.0,2
76,4626761.0,548842.0,4.5,4.76,1.69,38.0,34.0,241.0,7.19,0.07,5.16,5170.0,14.0,250.0,0.02,33.0,16.0,245.0,1060.0,1
77,4626815.0,548942.0,4.78,3.37,1.53,41.0,70.0,119.0,6.32,0.03,3.59,1925.0,28.0,170.0,0.02,27.0,21.0,217.0,208.0,1
78,4626837.0,548969.0,3.8,3.69,0.09,30.0,61.0,1805.0,7.73,0.05,2.92,2590.0,13.0,130.0,0.05,19.0,4.0,168.0,210.0,1
79,4626956.0,548842.0,4.24,0.45,0.08,3.0,2.0,1875.0,2.42,0.14,0.05,104.0,1.0,580.0,0.08,4.0,12.0,11.0,76.0,2
80,4626966.0,548891.0,3.36,0.98,0.17,3.0,17.0,376.0,8.85,0.22,0.12,79.0,4.0,330.0,0.07,14.0,16.0,237.0,59.0,0
81,4626808.0,549001.0,3.26,2.63,0.66,20.0,3.0,97.0,5.89,0.05,2.06,2250.0,4.0,560.0,1.7,17.0,14.0,180.0,184.0,0
