,norte,este,Recvd Wt.,Au,Ag,Al,As,B,Ba,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sc,Sr,Ti,V,Zn
34,4627100.0,548866.0,3.0,6.0,0.2,0.65,6.0,10.0,50.0,2.0,1.41,0.5,6.0,1.0,616.0,3.85,10.0,0.16,0.72,308.0,1.0,0.04,1.0,50.0,4.0,0.01,8.0,42.0,0.01,66.0,116.0
35,4627090.0,549009.0,3.36,16.0,0.6,4.93,12.0,10.0,210.0,2.0,0.45,0.5,41.0,75.0,1240.0,12.55,10.0,0.09,2.91,3880.0,2.0,0.04,17.0,180.0,7.0,0.02,29.0,23.0,0.01,263.0,631.0
36,4626843.0,549020.0,3.06,5.0,0.2,1.15,27.0,10.0,90.0,2.0,0.12,0.5,1.0,15.0,129.0,8.05,10.0,0.15,0.32,100.0,3.0,0.06,1.0,400.0,14.0,0.07,9.0,18.0,0.04,219.0,32.0
37,4626901.0,549054.0,2.6,5.0,0.2,1.7,13.0,10.0,30.0,2.0,0.12,0.5,3.0,57.0,99.0,6.0,10.0,0.11,0.68,269.0,1.0,0.07,4.0,200.0,3.0,0.02,22.0,12.0,0.04,255.0,92.0
38,4626896.0,549004.0,3.1,11.0,0.4,3.89,5.0,10.0,30.0,2.0,0.51,2.4,38.0,40.0,688.0,7.2,10.0,0.01,3.36,4170.0,1.0,0.07,12.0,260.0,243.0,0.01,26.0,26.0,0.06,234.0,1235.0
39,4626963.0,548960.0,5.0,7.0,0.5,5.23,5.0,10.0,10.0,2.0,0.07,0.5,45.0,78.0,2120.0,12.3,10.0,0.05,3.29,3740.0,1.0,0.05,29.0,170.0,4.0,0.03,21.0,10.0,0.01,201.0,245.0
40,4626803.0,549047.0,2.74,5.0,0.2,2.2,10.0,10.0,60.0,2.0,0.09,0.5,2.0,4.0,63.0,5.35,10.0,0.2,1.08,436.0,1.0,0.09,1.0,510.0,2.0,0.27,14.0,57.0,0.19,141.0,55.0
41,4626799.0,549103.0,2.9,5.0,0.2,2.99,5.0,10.0,30.0,2.0,0.1,0.5,2.0,3.0,115.0,6.88,10.0,0.17,1.59,456.0,1.0,0.07,1.0,560.0,2.0,0.2,13.0,22.0,0.01,146.0,69.0
42,4626695.0,548649.0,4.0,5.0,0.2,3.7,9.0,10.0,20.0,2.0,0.86,0.9,27.0,5.0,246.0,7.08,10.0,0.02,2.83,3850.0,1.0,0.07,5.0,450.0,45.0,0.01,24.0,46.0,0.13,232.0,830.0
43,4626735.0,548506.0,2.72,19.0,0.2,2.38,8.0,10.0,280.0,2.0,0.29,0.5,12.0,7.0,99.0,5.25,10.0,0.16,1.36,1450.0,1.0,0.07,4.0,240.0,3.0,0.07,12.0,23.0,0.01,120.0,93.0
44,4626709.0,548504.0,3.44,6.0,0.2,2.27,5.0,10.0,30.0,2.0,0.34,0.5,3.0,2.0,385.0,4.61,10.0,0.11,1.15,726.0,1.0,0.09,4.0,500.0,3.0,0.06,12.0,15.0,0.01,80.0,94.0
45,4626701.0,548547.0,4.08,5.0,0.2,4.67,6.0,10.0,10.0,2.0,0.87,0.5,37.0,95.0,133.0,6.18,10.0,0.01,5.28,3190.0,1.0,0.06,51.0,210.0,3.0,0.01,27.0,38.0,0.19,231.0,407.0
46,4626861.0,548363.0,5.4,20.0,0.3,0.5,15.0,10.0,30.0,2.0,0.18,0.5,6.0,1.0,104.0,3.93,10.0,0.18,2.12,1115.0,1.0,0.03,1.0,500.0,3.0,0.88,3.0,6.0,0.01,8.0,230.0
47,4626802.0,548370.0,5.36,18.0,0.3,0.56,7.0,10.0,30.0,2.0,0.03,0.5,5.0,2.0,611.0,3.34,10.0,0.23,0.09,320.0,2.0,0.03,1.0,450.0,2.0,0.14,2.0,5.0,0.01,7.0,161.0
48,4626699.0,548353.0,2.72,274.0,0.2,0.48,71.0,10.0,40.0,2.0,0.08,0.5,5.0,1.0,579.0,5.32,10.0,0.15,0.02,83.0,3.0,0.03,1.0,520.0,2.0,0.05,2.0,5.0,0.01,7.0,212.0
49,4626707.0,548394.0,3.42,6.0,0.2,1.47,11.0,10.0,140.0,2.0,0.02,0.5,9.0,8.0,31.0,3.35,10.0,0.12,1.43,549.0,1.0,0.08,3.0,260.0,2.0,1.38,7.0,6.0,0.01,100.0,66.0
50,4626713.0,548451.0,3.82,19.0,0.2,2.59,26.0,10.0,190.0,2.0,0.28,0.5,10.0,47.0,253.0,7.13,10.0,0.15,1.44,1060.0,1.0,0.05,10.0,210.0,2.0,0.04,19.0,44.0,0.02,230.0,152.0
51,4626656.0,548361.0,2.82,29.0,0.6,0.4,27.0,10.0,40.0,2.0,0.03,0.5,2.0,1.0,408.0,3.41,10.0,0.16,0.02,55.0,1.0,0.04,1.0,310.0,2.0,0.02,2.0,3.0,0.01,11.0,70.0
52,4626649.0,548403.0,4.58,46.0,2.2,0.55,35.0,10.0,70.0,2.0,0.03,0.5,1.0,2.0,379.0,4.45,10.0,0.21,0.03,22.0,3.0,0.03,1.0,420.0,2.0,0.09,3.0,10.0,0.01,18.0,20.0
53,4626658.0,548455.0,3.82,5.0,0.2,4.16,2.0,10.0,30.0,2.0,0.06,0.5,7.0,152.0,111.0,6.25,10.0,0.04,4.57,294.0,1.0,0.05,39.0,160.0,2.0,0.05,29.0,5.0,0.09,270.0,52.0
54,4626656.0,548504.0,3.66,16.0,0.2,3.86,7.0,10.0,170.0,2.0,0.06,0.5,11.0,105.0,264.0,9.05,10.0,0.12,3.12,1310.0,1.0,0.05,23.0,180.0,4.0,0.76,24.0,11.0,0.18,257.0,125.0
55,4626694.0,548603.0,3.1,5.0,0.3,4.89,6.0,10.0,10.0,2.0,3.21,2.2,34.0,80.0,91.0,6.28,10.0,0.02,4.91,5980.0,1.0,0.06,41.0,250.0,926.0,0.01,27.0,51.0,0.07,250.0,2490.0
56,4626641.0,548562.0,2.62,5.0,0.2,3.68,3.0,10.0,10.0,2.0,0.67,0.5,21.0,11.0,253.0,6.65,10.0,0.04,2.47,1870.0,1.0,0.07,8.0,510.0,4.0,0.01,19.0,26.0,0.14,191.0,134.0
57,4626641.0,548607.0,3.36,5.0,0.2,3.92,5.0,10.0,30.0,2.0,0.49,0.5,19.0,10.0,100.0,7.11,10.0,0.09,2.67,1940.0,1.0,0.05,9.0,460.0,3.0,0.01,16.0,28.0,0.05,187.0,172.0
