,,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,
NORTE,ESTE,kg,ppb,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,
4627100,548866,3,6,<0.2,0.65,6,10,50,<0.5,<2,1.41,<0.5,6,1,616,3.85,<10,<1,0.16,<10,0.72,308,1,0.04,1,50,4,<0.01,<2,8,42,<20,0.01,<10,<10,66,<10,116,
4627090,549009,3.36,16,0.6,4.93,12,<10,210,<0.5,<2,0.45,<0.5,41,75,1240,12.55,10,<1,0.09,<10,2.91,3880,2,0.04,17,180,7,0.02,3,29,23,<20,0.01,<10,<10,263,<10,631,
4626843,549020,03.06,<5,<0.2,1.15,27,<10,90,<0.5,<2,0.12,<0.5,<1,15,129,08.05,10,<1,0.15,<10,0.32,100,3,0.06,<1,400,14,0.07,<2,9,18,<20,0.04,<10,<10,219,<10,32,
4626901,549054,2.6,5,<0.2,1.7,13,<10,30,<0.5,<2,0.12,<0.5,3,57,99,6,10,<1,0.11,<10,0.68,269,1,0.07,4,200,3,0.02,<2,22,12,<20,0.04,<10,<10,255,<10,92,
4626896,549004,3.1,11,0.4,3.89,5,<10,30,<0.5,<2,0.51,2.4,38,40,688,7.2,10,<1,0.01,<10,3.36,4170,<1,0.07,12,260,243,<0.01,<2,26,26,<20,0.06,<10,<10,234,<10,1235,
4626963,548960,5,7,0.5,5.23,5,<10,10,<0.5,<2,0.07,<0.5,45,78,2120,12.3,10,<1,0.05,<10,3.29,3740,1,0.05,29,170,4,0.03,<2,21,10,<20,0.01,<10,<10,201,<10,245,
4626803,549047,2.74,<5,<0.2,2.2,10,<10,60,<0.5,<2,0.09,<0.5,2,4,63,5.35,10,<1,0.2,<10,01.08,436,1,0.09,1,510,2,0.27,<2,14,57,<20,0.19,<10,<10,141,<10,55,
4626799,549103,2.9,<5,<0.2,2.99,5,<10,30,<0.5,<2,0.1,<0.5,2,3,115,6.88,10,<1,0.17,<10,1.59,456,1,0.07,<1,560,2,0.2,<2,13,22,<20,0.01,<10,<10,146,<10,69,
4626695,548649,4,<5,<0.2,3.7,9,<10,20,<0.5,<2,0.86,0.9,27,5,246,07.08,10,<1,0.02,<10,2.83,3850,<1,0.07,5,450,45,<0.01,<2,24,46,<20,0.13,<10,<10,232,<10,830,
4626735,548506,2.72,19,<0.2,2.38,8,<10,280,<0.5,<2,0.29,<0.5,12,7,99,5.25,10,<1,0.16,<10,1.36,1450,1,0.07,4,240,3,0.07,<2,12,23,<20,0.01,<10,<10,120,<10,93,
